ch_id,mc_id,pt
ch01,EAF-1,45
ch01,EAF-2,51
ch01,EAF-3,47
ch01,EAF-4,49
ch01,RF2-1,38
ch01,RF2-2,37
ch01,CC-1,40
ch01,CC-2,43
ch01,CC-3,36
ch01,CC-4,36
ch02,EAF-1,46
ch02,EAF-2,45
ch02,EAF-3,55
ch02,EAF-4,54
ch02,CC-1,44
ch02,CC-2,43
ch02,CC-3,44
ch02,CC-4,45
ch03,EAF-1,46
ch03,EAF-2,49
ch03,EAF-3,53
ch03,EAF-4,48
ch03,RF1-1,37
ch03,RF1-2,31
ch03,CC-1,36
ch03,CC-2,45
ch03,CC-3,41
ch03,CC-4,36
ch04,EAF-1,51
ch04,EAF-2,49
ch04,EAF-3,54
ch04,EAF-4,55
ch04,CC-1,41
ch04,CC-2,35
ch04,CC-3,39
ch04,CC-4,40
ch05,EAF-1,47
ch05,EAF-2,50
ch05,EAF-3,54
ch05,EAF-4,49
ch05,RF1-1,39
ch05,RF1-2,33
ch05,CC-1,36
ch05,CC-2,40
ch05,CC-3,41
ch05,CC-4,45
ch06,EAF-1,49
ch06,EAF-2,52
ch06,EAF-3,52
ch06,EAF-4,48
ch06,CC-1,39
ch06,CC-2,38
ch06,CC-3,41
ch06,CC-4,43
ch07,EAF-1,55
ch07,EAF-2,46
ch07,EAF-3,51
ch07,EAF-4,48
ch07,CC-1,39
ch07,CC-2,43
ch07,CC-3,38
ch07,CC-4,37
ch08,EAF-1,49
ch08,EAF-2,54
ch08,EAF-3,50
ch08,EAF-4,48
ch08,RF3-1,30
ch08,RF3-2,30
ch08,CC-1,44
ch08,CC-2,43
ch08,CC-3,36
ch08,CC-4,36
ch09,EAF-1,55
ch09,EAF-2,50
ch09,EAF-3,50
ch09,EAF-4,46
ch09,RF1-1,33
ch09,RF1-2,37
ch09,CC-1,36
ch09,CC-2,36
ch09,CC-3,42
ch09,CC-4,35
ch10,EAF-1,49
ch10,EAF-2,45
ch10,EAF-3,47
ch10,EAF-4,48
ch10,RF2-1,37
ch10,RF2-2,32
ch10,RF3-1,30
ch10,RF3-2,35
ch10,CC-1,39
ch10,CC-2,36
ch10,CC-3,40
ch10,CC-4,39
ch11,EAF-1,55
ch11,EAF-2,47
ch11,EAF-3,45
ch11,EAF-4,55
ch11,RF1-1,40
ch11,RF1-2,35
ch11,CC-1,37
ch11,CC-2,45
ch11,CC-3,41
ch11,CC-4,35
ch12,EAF-1,55
ch12,EAF-2,48
ch12,EAF-3,53
ch12,EAF-4,53
ch12,RF1-1,32
ch12,RF1-2,34
ch12,RF2-1,36
ch12,RF2-2,36
ch12,CC-1,40
ch12,CC-2,44
ch12,CC-3,41
ch12,CC-4,43
ch13,EAF-1,50
ch13,EAF-2,48
ch13,EAF-3,49
ch13,EAF-4,45
ch13,RF2-1,33
ch13,RF2-2,39
ch13,RF3-1,39
ch13,RF3-2,36
ch13,CC-1,40
ch13,CC-2,44
ch13,CC-3,41
ch13,CC-4,43
ch14,EAF-1,49
ch14,EAF-2,49
ch14,EAF-3,48
ch14,EAF-4,49
ch14,RF2-1,32
ch14,RF2-2,40
ch14,CC-1,38
ch14,CC-2,42
ch14,CC-3,40
ch14,CC-4,41
ch15,EAF-1,47
ch15,EAF-2,52
ch15,EAF-3,55
ch15,EAF-4,48
ch15,CC-1,36
ch15,CC-2,38
ch15,CC-3,39
ch15,CC-4,43
ch16,EAF-1,49
ch16,EAF-2,50
ch16,EAF-3,52
ch16,EAF-4,53
ch16,RF1-1,35
ch16,RF1-2,38
ch16,RF3-1,36
ch16,RF3-2,30
ch16,CC-1,36
ch16,CC-2,41
ch16,CC-3,35
ch16,CC-4,42
