Name,CastCount,ChargeCount,1LB_2obj,1LB_2,1LB_3,1LB_Best,1LB_2Ratio,1LB_3Ratio,1LB_2Time,1LB_3Time,2CIObj1,2CIObj2,2CIObj3,2CIObj4,2CIObjTotal,2CITime,3DCAObj1,3DCAObj2,3DCAObj3,3DCAObj4,3DCAObjTotal,3DCAIters,3DCATime,4DCHObj1,4DCHObj2,4DCHObj3,4DCHObj4,4DCHObjTotal,4DCHTime,5MIObj1,5MIObj2,5MIObj3,5MIObj4,5MIObjTotal,5MIinitLB,5MIfinalLB,5MITimeLimit,5MITime,ImprovTotal,ObjGap,TimeTotal
me_00,3,17,966.0,966.0,965.0,966.0,1.0,0.9989648033126294,0.95,0.16,0.0,43.0,622.0,351.0,1037.5,4.13,0.0,35.0,628.0,345.0,1025.5,1,2.04,0.0,1.0,667.0,305.0,973.5,4.37,0.0,1.0,661.0,311.0,973.5,966.0,973.5,588.3690314292908,221.17,0.0657421674370827,0.0,232.82
me_01,4,21,1868.0,1868.0,1862.0,1868.0,1.0,0.9967880085653105,6.17,0.27,0.0,77.0,830.0,1226.0,2171.5,5.43,0.0,33.0,842.0,1192.0,2083.5,1,15.63,0.0,32.0,827.0,1205.0,2080.0,69.56,0.0,13.0,814.0,1232.0,2065.5,1868.0,1868.0,502.9654761791229,503.02,0.05131929314935851,0.10572805139186295,600.0799999999999
me_02,3,17,1491.0,1491.0,1490.0,1491.0,1.0,0.9993293091884641,2.22,0.27,0.0,120.0,525.0,973.0,1678.0,2.61,0.0,101.0,534.0,963.0,1648.5,1,5.17,0.0,57.0,513.0,988.0,1586.5,46.0,0.0,57.0,513.0,988.0,1586.5,1491.0,1491.0,543.7387965679169,543.78,0.05767412543334384,0.06405097250167673,600.05
me_03,3,17,1412.0,1412.0,1412.0,1412.0,1.0,1.0,0.99,0.22,0.0,43.0,666.0,790.0,1520.5,1.0,0.0,27.0,678.0,772.0,1490.5,1,1.93,0.0,25.0,606.0,818.0,1461.5,36.61,0.0,24.0,602.0,810.0,1448.0,1412.0,1431.5,559.2448415756226,559.28,0.05006906077348066,0.011526370939573873,600.03
me_04,3,16,1433.0,1433.0,1428.0,1433.0,1.0,0.9965108164689462,0.97,0.23,0.0,62.0,475.0,982.0,1550.0,2.39,0.0,0.0,687.0,806.0,1493.0,1,2.72,0.0,0.0,668.0,816.0,1484.0,4.14,0.0,0.0,652.0,825.0,1477.0,1433.0,1446.5,589.5606884479523,589.6,0.04942450914014895,0.021085378499827168,600.0500000000001
me_05,4,21,2442.0,2442.0,2440.0,2442.0,1.0,0.9991809991809992,6.98,0.25,0.0,161.0,982.0,1518.0,2741.5,1.33,0.0,85.0,1005.0,1481.0,2613.5,1,8.14,0.0,12.0,1356.0,1112.0,2486.0,28.12,0.0,13.0,1353.0,1104.0,2476.5,2442.0,2442.0,555.222123670578,555.28,0.1070058550373511,0.014127764127764128,600.1
me_06,4,21,2359.0,2359.0,2328.0,2359.0,1.0,0.986858838490886,7.91,0.28,0.0,90.0,1154.0,1264.0,2553.0,1.74,0.0,10.0,1130.0,1300.0,2445.0,1,4.44,0.0,9.0,1130.0,1300.0,2443.5,25.39,0.0,6.0,1138.0,1269.0,2416.0,2359.0,2389.0,560.2551162242889,560.31,0.05670529801324503,0.011301799916282964,600.0699999999999
me_07,3,17,1570.0,1570.0,1553.0,1570.0,1.0,0.989171974522293,0.44,0.2,0.0,32.0,471.0,1162.0,1681.0,1.51,0.0,34.0,545.0,1061.0,1657.0,1,1.46,0.0,10.0,558.0,1019.0,1592.0,5.56,0.0,9.0,585.0,990.0,1588.5,1570.0,1588.5,590.8292556667328,441.79,0.05823103556814605,0.0,450.96000000000004
me_08,4,22,2090.0,2090.0,2053.0,2090.0,1.0,0.9822966507177033,8.33,0.28,0.0,87.0,911.0,1418.0,2459.5,9.51,0.0,68.0,999.0,1306.0,2407.0,1,12.28,0.0,49.0,1065.0,1171.0,2309.5,62.73,0.0,35.0,1067.0,1162.0,2281.5,2090.0,2090.0,506.88917031288145,506.95,0.07801884724961648,0.09162679425837321,600.0799999999999
me_09,4,21,2196.0,2196.0,2162.0,2196.0,1.0,0.9845173041894353,8.73,0.31,0.0,96.0,526.0,1702.0,2372.0,3.21,0.0,14.0,658.0,1549.0,2228.0,1,10.43,0.0,1.0,764.0,1446.0,2211.5,17.33,0.0,0.0,695.0,1507.0,2202.0,2196.0,2196.0,559.9967550849915,560.06,0.07720254314259764,0.00273224043715847,600.0699999999999
me_10,3,15,1156.0,1156.0,1143.0,1156.0,1.0,0.9887543252595156,0.82,0.29,0.0,16.0,402.0,824.0,1250.0,2.55,0.0,20.0,406.0,813.0,1249.0,1,4.12,0.0,13.0,422.0,789.0,1230.5,21.32,0.0,3.0,407.0,809.0,1220.5,1156.0,1183.0,570.9106983757019,570.94,0.024170421958213846,0.03169907016060862,600.0400000000001
