ch_id,mc_id,pt
ch01,EAF-1,53
ch01,EAF-2,51
ch01,EAF-3,54
ch01,EAF-4,50
ch01,RF2-1,39
ch01,RF2-2,34
ch01,CC-1,40
ch01,CC-2,37
ch01,CC-3,44
ch01,CC-4,35
ch02,EAF-1,48
ch02,EAF-2,51
ch02,EAF-3,53
ch02,EAF-4,45
ch02,CC-1,39
ch02,CC-2,37
ch02,CC-3,42
ch02,CC-4,45
ch03,EAF-1,51
ch03,EAF-2,46
ch03,EAF-3,48
ch03,EAF-4,46
ch03,CC-1,36
ch03,CC-2,39
ch03,CC-3,42
ch03,CC-4,38
ch04,EAF-1,53
ch04,EAF-2,51
ch04,EAF-3,45
ch04,EAF-4,47
ch04,CC-1,44
ch04,CC-2,43
ch04,CC-3,37
ch04,CC-4,44
ch05,EAF-1,54
ch05,EAF-2,55
ch05,EAF-3,48
ch05,EAF-4,55
ch05,RF3-1,31
ch05,RF3-2,32
ch05,CC-1,38
ch05,CC-2,40
ch05,CC-3,42
ch05,CC-4,36
ch06,EAF-1,46
ch06,EAF-2,47
ch06,EAF-3,52
ch06,EAF-4,50
ch06,RF2-1,40
ch06,RF2-2,36
ch06,RF3-1,36
ch06,RF3-2,40
ch06,CC-1,45
ch06,CC-2,37
ch06,CC-3,42
ch06,CC-4,35
ch07,EAF-1,45
ch07,EAF-2,54
ch07,EAF-3,46
ch07,EAF-4,47
ch07,CC-1,36
ch07,CC-2,37
ch07,CC-3,39
ch07,CC-4,41
ch08,EAF-1,52
ch08,EAF-2,55
ch08,EAF-3,53
ch08,EAF-4,48
ch08,RF2-1,39
ch08,RF2-2,30
ch08,CC-1,43
ch08,CC-2,43
ch08,CC-3,43
ch08,CC-4,35
ch09,EAF-1,45
ch09,EAF-2,47
ch09,EAF-3,45
ch09,EAF-4,45
ch09,CC-1,35
ch09,CC-2,40
ch09,CC-3,42
ch09,CC-4,44
ch10,EAF-1,49
ch10,EAF-2,50
ch10,EAF-3,53
ch10,EAF-4,49
ch10,RF1-1,30
ch10,RF1-2,35
ch10,CC-1,45
ch10,CC-2,44
ch10,CC-3,42
ch10,CC-4,44
ch11,EAF-1,45
ch11,EAF-2,49
ch11,EAF-3,50
ch11,EAF-4,48
ch11,RF1-1,39
ch11,RF1-2,37
ch11,CC-1,44
ch11,CC-2,41
ch11,CC-3,43
ch11,CC-4,40
ch12,EAF-1,53
ch12,EAF-2,46
ch12,EAF-3,53
ch12,EAF-4,55
ch12,CC-1,45
