ch_id,mc_id,pt
ch1,EAF-1,52
ch1,EAF-2,54
ch1,EAF-3,51
ch1,EAF-4,52
ch1,RF1-1,33
ch1,RF1-2,37
ch1,CC-1,38
ch1,CC-2,43
ch1,CC-3,45
ch1,CC-4,45
ch2,EAF-1,45
ch2,EAF-2,50
ch2,EAF-3,45
ch2,EAF-4,54
ch2,RF1-1,33
ch2,RF1-2,32
ch2,CC-1,38
ch2,CC-2,43
ch2,CC-3,39
ch2,CC-4,45
ch3,EAF-1,47
ch3,EAF-2,54
ch3,EAF-3,45
ch3,EAF-4,54
ch3,RF1-1,40
ch3,RF1-2,33
ch3,CC-1,40
ch3,CC-2,35
ch3,CC-3,37
ch3,CC-4,41
ch4,EAF-1,46
ch4,EAF-2,51
ch4,EAF-3,47
ch4,EAF-4,51
ch4,RF1-1,38
ch4,RF1-2,37
ch4,RF3-1,32
ch4,RF3-2,39
ch4,CC-1,44
ch4,CC-2,35
ch4,CC-3,41
ch4,CC-4,35
ch5,EAF-1,47
ch5,EAF-2,54
ch5,EAF-3,49
ch5,EAF-4,50
ch5,CC-1,42
ch5,CC-2,36
ch5,CC-3,37
ch5,CC-4,35
ch6,EAF-1,50
ch6,EAF-2,53
ch6,EAF-3,47
ch6,EAF-4,55
ch6,RF1-1,31
ch6,RF1-2,34
ch6,RF2-1,38
ch6,RF2-2,30
ch6,CC-1,36
ch6,CC-2,35
ch6,CC-3,41
ch6,CC-4,43
ch7,EAF-1,51
ch7,EAF-2,47
ch7,EAF-3,46
ch7,EAF-4,53
ch7,RF2-1,35
ch7,RF2-2,35
ch7,CC-1,38
ch7,CC-2,35
ch7,CC-3,41
ch7,CC-4,38
ch8,EAF-1,52
ch8,EAF-2,54
ch8,EAF-3,55
ch8,EAF-4,54
ch8,CC-1,39
ch8,CC-2,41
ch8,CC-3,39
ch8,CC-4,40
ch9,EAF-1,46
ch9,EAF-2,51
ch9,EAF-3,52
ch9,EAF-4,55
ch9,CC-1,37
ch9,CC-2,41
ch9,CC-3,36
ch9,CC-4,39
